route,global_solution_id,source_run,source_solution_id,status,stored_peak_kw,replay_peak_kw,delta_peak_kw,stored_lcoe_usd_kwh,replay_lcoe_usd_kwh,delta_lcoe_usd_kwh,replay_valid,solve_time_sec
H2,17,warm_start_20260831_030140,17,OPTIMAL,376.2476001141024,376.2476001141024,0.0,0.1797351141556438,0.17973511415564386,5.551115123125783e-17,True,9.591999999999999
H2,18,warm_start_20260831_030140,18,OPTIMAL,377.23945331429786,377.23945331429786,0.0,0.179370032719817,0.17937003271981708,8.326672684688674e-17,True,9.618999999999998
H2,19,warm_start_20260831_030140,19,OPTIMAL,377.2476001141024,377.2476001141024,0.0,0.1778909995986625,0.17789099959866253,2.7755575615628914e-17,True,11.236999999999991
H2,20,warm_start_20260831_030140,20,OPTIMAL,380.2476001141024,380.2476001141024,0.0,0.1777144879755587,0.1777144879755587,0.0,True,9.73799999999999
H2,21,warm_start_20260831_030140,21,OPTIMAL,381.9500064836302,381.9500064836302,0.0,0.1763554961296084,0.1763554961296084,0.0,True,9.692
H2,22,warm_start_20260831_030140,22,OPTIMAL,384.2476001141024,384.2476001141024,0.0,0.1753223458816753,0.1753223458816753,0.0,True,10.15799999999999
H2,23,warm_start_20260831_030140,23,OPTIMAL,385.2476001141024,385.2476001141024,0.0,0.1739353559381551,0.17393535593815512,2.7755575615628914e-17,True,12.633999999999991
H2,24,warm_start_20260831_030140,24,OPTIMAL,386.2476001141024,386.2476001141024,0.0,0.1739205686402528,0.17392056864025282,2.7755575615628914e-17,True,12.265999999999984
H2,25,warm_start_20260831_030140,25,OPTIMAL,387.2476001141024,387.2476001141024,0.0,0.1725858493832217,0.17258584938322175,5.551115123125783e-17,True,11.897999999999996
H2,26,warm_start_20260831_030140,26,OPTIMAL,389.4913761896632,389.49137618966324,5.684341886080802e-14,0.1720445985024824,0.1720445985024824,0.0,True,11.760999999999981
H2,27,warm_start_20260831_030140,27,OPTIMAL,390.5644295673601,390.5644295673601,0.0,0.1711753558107001,0.17117535581070017,8.326672684688674e-17,True,10.14699999999999
H2,28,warm_start_20260831_030140,28,OPTIMAL,392.2476001141024,392.2476001141024,0.0,0.1704329653568099,0.17043296535680993,2.7755575615628914e-17,True,10.084
H2,29,warm_start_20260831_030140,29,OPTIMAL,393.2476001141024,393.2476001141024,0.0,0.1696345910298315,0.16963459102983153,2.7755575615628914e-17,True,10.531999999999998
H2,30,cold_start_20260830_174912,6,OPTIMAL,396.2476001141024,396.2476001141024,0.0,0.168111081056778,0.16811108105677808,8.326672684688674e-17,True,10.096999999999992
H2,31,cold_start_20260830_174912,7,OPTIMAL,398.2476001141024,398.2476001141024,0.0,0.1678128710398972,0.1678128710398972,0.0,True,10.204000000000008
H2,32,cold_start_20260830_174912,8,OPTIMAL,399.2476001141024,399.2476001141024,0.0,0.1674704637923121,0.16747046379231217,8.326672684688674e-17,True,10.595999999999993
H2,33,cold_start_20260830_174912,9,OPTIMAL,399.9081249317324,399.90812493173235,-5.684341886080802e-14,0.1669851234583562,0.1669851234583562,0.0,True,15.872999999999989
H2,34,cold_start_20260830_174912,10,OPTIMAL,400.2476001141024,400.2476001141024,0.0,0.1664921591060872,0.16649215910608722,2.7755575615628914e-17,True,10.125999999999989
H2,35,cold_start_20260830_174912,11,OPTIMAL,403.2476001141024,403.2476001141024,0.0,0.1662783368718746,0.16627833687187463,2.7755575615628914e-17,True,10.924999999999986
H2,36,cold_start_20260830_174912,12,OPTIMAL,403.6642641627534,403.6642641627534,0.0,0.1652410276253437,0.1652410276253437,0.0,True,15.679999999999987
H2,37,cold_start_20260830_174912,13,OPTIMAL,404.2476001141024,404.2476001141024,0.0,0.1651489040904277,0.1651489040904277,0.0,True,21.685999999999975
H2,38,cold_start_20260830_174912,14,OPTIMAL,405.2476001141024,405.2476001141024,0.0,0.1648750254705174,0.1648750254705174,0.0,True,22.587000000000003
H2,39,cold_start_20260830_174912,15,OPTIMAL,406.2318256052895,406.2318256052895,0.0,0.1643237486272318,0.1643237486272318,0.0,True,13.770999999999988
H2,40,cold_start_20260830_174912,16,OPTIMAL,407.2476001141024,407.2476001141024,0.0,0.1640030798212372,0.1640030798212372,0.0,True,13.936999999999989
H2,41,cold_start_20260830_174912,17,OPTIMAL,409.2257929892148,409.2257929892148,0.0,0.1616318346458821,0.1616318346458821,0.0,True,13.600999999999976
H2,42,cold_start_20260830_174912,18,OPTIMAL,413.2444705279062,413.2444705279062,0.0,0.1615583756877379,0.1615583756877379,0.0,True,13.868999999999991
H2,43,cold_start_20260830_174912,19,OPTIMAL,415.525792989215,415.525792989215,0.0,0.1609312956483505,0.16093129564835054,5.551115123125783e-17,True,12.788999999999984
