thermal_case,source_run,source_solution_id,pv_kw,bsv_kwh,biomethane_storage_nm3,chp_kw,P_peak_grid_opt_kw,base_lcoe_usd_kwh,recomputed_lcoe_usd_kwh,lcoe_audit_error,chp_electric_energy_kwh,chp_capacity_factor,heat_available_kwh_th,thermal_demand_kwh_th,heat_useful_kwh_th,heat_dumped_kwh_th,heat_utilization_ratio,thermal_demand_coverage_ratio,heat_credit_usd_per_year,adjusted_lcoe_usd_kwh,lcoe_reduction_usd_kwh,lcoe_reduction_percent,dominated_by_h2,n_h2_dominators,solver_status,solve_time_sec
T1,seed42,3,290.0,55.0,350.0,62.0,415.8640348984492,0.1889148842379263,0.1889148842379263,0.0,84115.22822551776,0.15487411295020945,98316.50052333245,200000.0,51328.84084664293,46987.65967668951,0.522077581824239,0.25664420423321466,4106.307267731435,0.18710441978393078,0.0018104644539955195,0.958349291162974,True,37,OPTIMAL,6.849000000000005
T2,seed42,3,290.0,55.0,350.0,62.0,415.8640348984492,0.1889148842379263,0.1889148842379263,0.0,84115.22822551776,0.15487411295020945,98316.50052333245,400000.0,82795.66585347758,15520.834669854863,0.8421339796754517,0.20698916463369393,6623.653268278206,0.18599452586824347,0.002920358369682824,1.545859333140113,True,36,OPTIMAL,6.849000000000005
T0,seed42,4,268.0,69.0,382.0,51.0,417.2476001141025,0.1880357124302613,0.18803571243026138,8.326672684688674e-17,79476.43135268515,0.17789513688039474,92894.53015248914,0.0,-3.836328213058782e-12,92894.53015248914,-4.1297676050046594e-17,0.0,-3.0690625704470253e-13,0.1880357124302613,0.0,0.0,True,40,OPTIMAL,6.886000000000003
T1,seed42,4,268.0,69.0,382.0,51.0,417.2476001141025,0.1880357124302613,0.18803571243026138,8.326672684688674e-17,79476.43135268515,0.17789513688039474,92894.53015248914,200000.0,52618.13968207655,40276.39047041259,0.5664288262796777,0.26309069841038274,4209.451174566124,0.18617977198901128,0.0018559404412500091,0.9870148692835892,True,38,OPTIMAL,6.886000000000003
T2,seed42,4,268.0,69.0,382.0,51.0,417.2476001141025,0.1880357124302613,0.18803571243026138,8.326672684688674e-17,79476.43135268515,0.17789513688039474,92894.53015248914,400000.0,81041.05781294423,11853.472339544896,0.872398597419169,0.20260264453236057,6483.284625035539,0.18517724237591315,0.002858470054348139,1.5201740230108092,True,38,OPTIMAL,6.886000000000003
T0,seed42,5,268.0,69.0,345.0,51.0,417.7717201674743,0.1874495245897559,0.18744952458975594,5.551115123125783e-17,70053.97784384288,0.15680449871036548,81881.27280449167,0.0,-4.434556545018295e-12,81881.27280449169,-5.4158373375639967e-17,0.0,-3.547645236014636e-13,0.1874495245897559,0.0,0.0,True,40,OPTIMAL,6.797999999999999
T1,seed42,5,268.0,69.0,345.0,51.0,417.7717201674743,0.1874495245897559,0.18744952458975594,5.551115123125783e-17,70053.97784384288,0.15680449871036548,81881.27280449167,200000.0,50571.81164382069,31309.461160670988,0.6176236630391819,0.2528590582191035,4045.7449315056556,0.18566576197511112,0.0017837626146447738,0.9515962329318473,True,39,OPTIMAL,6.797999999999999
T2,seed42,5,268.0,69.0,345.0,51.0,417.7717201674743,0.1874495245897559,0.18744952458975594,5.551115123125783e-17,70053.97784384288,0.15680449871036548,81881.27280449167,400000.0,75775.78556985708,6105.487234634589,0.9254348763091079,0.1894394639246427,6062.062845588566,0.18477677055937172,0.002672754030384167,1.425852658860375,True,38,OPTIMAL,6.797999999999999
T0,seed42,6,257.0,63.0,330.0,43.0,425.24760011410217,0.1869900375412441,0.18699003754124413,2.7755575615628914e-17,62763.7586317611,0.16662354951619704,73360.2373617987,0.0,-6.027658372431687e-12,73360.2373617987,-8.216519724035822e-17,0.0,-4.82212669794535e-13,0.1869900375412441,0.0,0.0,True,42,OPTIMAL,6.683000000000001
T1,seed42,6,257.0,63.0,330.0,43.0,425.24760011410217,0.1869900375412441,0.18699003754124413,2.7755575615628914e-17,62763.7586317611,0.16662354951619704,73360.2373617987,200000.0,51126.75564941755,22233.481712381137,0.6969273476756916,0.2556337782470878,4090.1404519534044,0.18518670101104778,0.00180333653019632,0.9644024643818583,True,42,OPTIMAL,6.683000000000001
