route,global_solution_id,source_run,source_solution_id,month,monthly_peak_grid_kw,demand_charge_usd_kw_month,monthly_demand_charge_usd
H2,55,cold_start_20260830_174912,31,5,437.1860672430611,30.0,13115.582017291832
H2,55,cold_start_20260830_174912,31,6,421.1881191042464,30.0,12635.643573127392
H2,55,cold_start_20260830_174912,31,7,417.811638392541,30.0,12534.34915177623
H2,55,cold_start_20260830_174912,31,8,439.338786706542,30.0,13180.16360119626
H2,55,cold_start_20260830_174912,31,9,432.32339931076046,30.0,12969.701979322814
H2,55,cold_start_20260830_174912,31,10,441.36076263979066,30.0,13240.82287919372
H2,55,cold_start_20260830_174912,31,11,441.36076263979066,30.0,13240.82287919372
H2,55,cold_start_20260830_174912,31,12,442.35360330039424,30.0,13270.608099011828
H2,56,cold_start_20260830_174912,32,1,443.82015199463876,30.0,13314.604559839163
H2,56,cold_start_20260830_174912,32,2,443.82015199463876,30.0,13314.604559839163
H2,56,cold_start_20260830_174912,32,3,443.82015199463876,30.0,13314.604559839163
H2,56,cold_start_20260830_174912,32,4,442.7906082262489,30.0,13283.718246787466
H2,56,cold_start_20260830_174912,32,5,437.1860672430611,30.0,13115.582017291832
H2,56,cold_start_20260830_174912,32,6,418.6201259995169,30.0,12558.603779985508
H2,56,cold_start_20260830_174912,32,7,417.81163839254106,30.0,12534.349151776232
H2,56,cold_start_20260830_174912,32,8,439.33878670654207,30.0,13180.163601196262
H2,56,cold_start_20260830_174912,32,9,443.2596285101074,30.0,13297.788855303223
H2,56,cold_start_20260830_174912,32,10,443.82015199463876,30.0,13314.604559839163
H2,56,cold_start_20260830_174912,32,11,443.82015199463876,30.0,13314.604559839163
H2,56,cold_start_20260830_174912,32,12,443.82015199463876,30.0,13314.604559839163
H2,57,cold_start_20260830_174912,33,1,446.263901370698,30.0,13387.917041120942
H2,57,cold_start_20260830_174912,33,2,446.8096680508502,30.0,13404.290041525506
H2,57,cold_start_20260830_174912,33,3,440.62397937473816,30.0,13218.719381242145
H2,57,cold_start_20260830_174912,33,4,438.91392501406654,30.0,13167.417750421995
H2,57,cold_start_20260830_174912,33,5,426.1860672430611,30.0,12785.582017291832
H2,57,cold_start_20260830_174912,33,6,422.7595185917926,30.0,12682.785557753778
H2,57,cold_start_20260830_174912,33,7,410.0696699255027,30.0,12302.090097765082
H2,57,cold_start_20260830_174912,33,8,428.33878670654207,30.0,12850.163601196262
H2,57,cold_start_20260830_174912,33,9,432.2596285101074,30.0,12967.788855303223
