solution_id,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,lcoe_usd_kwh,rank,crowding_distance,milp_status,solve_time_sec,capex_total_usd,annualized_capex_usd,fixed_opex_annual_usd,variable_h2_opex_annual_usd,degradation_opex_annual_usd,grid_opex_annual_usd,grid_peak_opex_annual_usd,E_grid_total_kwh,E_load_total_kwh,E_grid_peak_opt_kwh,E_grid_peak_ref_kwh,R_peak_percent,P_peak_grid_opt_kw,P_peak_grid_ref_kw,Peak_reduction_percent,peak_grid_dependency_ratio,peak_grid_dependency_percent,total_grid_dependency_ratio,grid_dependency_objective,source_run,source_solution_id,globally_nondominated
30,503.0,1482.0,149.0,28.0,30.0,0.1514607160103072,0,0.0347267981408077,OPTIMAL,9.106999999999978,1182840.0,120474.86668437545,18848.8,3625.107646205116,0.0,200578.6766261961,8370.387744573922,1298129.3680332955,2268096.0450061434,16740.775489147843,325732.2452614388,94.86057160975533,438.2476001141024,474.8149521321564,7.7013901634412125,0.0513942839024468,5.139428390244689,0.5723432086976632,0.1372457652070963,cold_start_20260830_174912,30,True
31,558.0,1477.0,95.0,40.0,27.0,0.1507531692177357,0,0.1157279041731161,OPTIMAL,9.91899999999999,1132040.0,115300.7744761594,17171.8,2497.414100931589,0.0,206952.67829779728,9797.877181567368,1333961.0951380008,2268096.0450061434,19595.754363134736,325732.2452614388,93.9840913363039,442.35360330039424,474.8149521321564,6.836631552143524,0.060159086636961,6.015908663696104,0.5881413611540368,0.1483802908100665,cold_start_20260830_174912,31,True
32,481.0,1484.0,96.0,35.0,26.0,0.1481620181154153,0,0.2995711566085581,OPTIMAL,9.841999999999976,1054280.0,107380.7467180712,16403.6,2399.1619583020274,0.0,209862.17863132895,9707.6298260699,1353778.9183538673,2268096.0450061434,19415.2596521398,325732.2452614388,94.03950332379382,443.8201519946388,474.8149521321564,6.527764131760283,0.0596049667620617,5.960496676206175,0.59687900842409,0.1491368180256752,cold_start_20260830_174912,32,True
33,462.0,1488.0,64.0,17.0,11.0,0.1462597824230723,0,0.2550846640510114,OPTIMAL,8.474999999999985,941860.0,95930.5214021726,14258.2,1503.5369673495816,0.0,220038.9756877073,15304.031683978064,1395507.6900594844,2268096.0450061434,30608.06336795613,325732.2452614388,90.60330568642674,457.2476001141024,474.8149521321564,3.699831258297115,0.0939669431357326,9.396694313573262,0.6152771586247815,0.1862585169294498,cold_start_20260830_174912,33,True
34,453.0,1445.0,38.0,23.0,9.0,0.1457608918658615,0,0.1713998090128006,OPTIMAL,8.934999999999992,872400.0,88855.86697731657,12897.0,965.2917467161708,0.0,227881.54363349592,19407.288897955423,1428642.9426995143,2268096.0450061434,38814.57779591085,325732.2452614388,88.08390070047946,459.2476001141024,474.8149521321564,3.2786145314398385,0.1191609929952054,11.916099299520546,0.6298864397057069,0.2136439589510615,cold_start_20260830_174912,34,True
35,425.0,1486.0,16.0,14.0,4.0,0.1428990508278387,0,0.1744677589602319,OPTIMAL,9.756999999999994,797520.0,81229.17358063906,11668.4,405.7512640769411,0.0,230805.44717303687,18407.623424563957,1452800.738505614,2268096.0450061434,36815.24684912791,325732.2452614388,88.69769653305913,464.2476001141024,474.8149521321564,2.225572714296653,0.1130230346694086,11.30230346694086,0.6405375741051031,0.209103670785174,cold_start_20260830_174912,35,True
36,314.0,1439.0,15.0,28.0,2.0,0.1422749667151897,0,inf,OPTIMAL,8.04599999999999,679980.0,69257.46495556594,10317.6,252.00261389128036,0.0,242866.22174064524,23108.95231047023,1511266.367488774,2268096.0450061434,46217.90462094046,325732.2452614388,85.8110748035261,466.2476001141024,474.8149521321564,1.804355987439388,0.141889251964739,14.188925196473903,0.6663149785108331,0.2418364987413639,cold_start_20260830_174912,36,True
0,990.0,1241.0,441.0,200.0,117.0,0.1940992206737364,0,inf,OPTIMAL,9.649,2417120.0,246189.01099061372,38763.4,11863.383683771475,0.0,143419.8800744911,79.40785326847441,955761.9638480212,2268096.0450061434,158.81570653694882,325732.2452614388,99.95124348023651,351.2476001141024,474.8149521321564,26.02431778173262,0.0004875651976348,0.0487565197634886,0.4213939554951397,0.0636966585219058,warm_start_20260831_030140,0,True
1,979.0,1264.0,434.0,165.0,116.0,0.1921594783204994,0,0.0841408067030589,OPTIMAL,9.621999999999996,2374880.0,241886.77368992387,38225.6,11660.391791420485,0.0,144063.3873078243,41.237728458392624,960230.1393193564,2268096.0450061434,82.47545691678525,325732.2452614388,99.97467998390808,352.2476001141024,474.8149521321564,25.813709418303983,0.0002532001609192,0.0253200160919251,0.4233639670743112,0.0637577952220659,warm_start_20260831_030140,1,True
2,914.0,1262.0,448.0,186.0,115.0,0.1911546434692603,0,0.0524128747330249,OPTIMAL,9.624999999999991,2348740.0,239224.35695128675,38213.8,11685.818203734922,0.0,144433.11568216726,55.87977583254344,962626.6655938964,2268096.0450061434,111.75955166508687,325732.2452614388,99.96568974877653,353.2476001141024,474.8149521321564,25.603101054875346,0.0003431025122348,0.0343102512234816,0.4244205917617078,0.0640061912764909,warm_start_20260831_030140,2,True
