thermal_case,source_run,source_solution_id,pv_kw,bsv_kwh,biomethane_storage_nm3,chp_kw,P_peak_grid_opt_kw,lcoe_T0_original_usd_kwh,recovery_fraction,thermal_demand_kwh_th,estimated_chp_el_energy_kwh,heat_generated_kwh_th,heat_recoverable_kwh_th,heat_useful_kwh_th,heat_utilization_ratio,heat_credit_usd_per_year,adjusted_annual_cost_usd,adjusted_lcoe_usd_kwh,lcoe_reduction_usd_kwh,lcoe_reduction_percent,dominated_by_h2,n_h2_dominators
T2,seed43,9,212.0,253.0,275.0,20.0,448.24760011410257,0.1785389203925819,0.8,400000.0,43800.0,56314.28571428572,45051.42857142858,45051.42857142858,0.8000000000000002,3604.1142857142863,401339.30493636755,0.17694987203916246,0.0015890483534194422,0.8900291039765161,True,36
T0,seed43,10,206.0,290.0,232.0,20.0,448.6937270185009,0.1770125942932474,0.0,0.0,43800.0,56314.28571428572,0.0,0.0,0.0,0.0,401481.5650327915,0.17701259429324742,-2.7755575615628914e-17,-1.5680000469146122e-14,True,36
T1,seed43,10,206.0,290.0,232.0,20.0,448.6937270185009,0.1770125942932474,0.5,200000.0,43800.0,56314.28571428572,28157.14285714286,28157.14285714286,0.5,2252.571428571429,399228.9936042201,0.17601943907236026,0.0009931552208871375,0.5610647224580132,True,35
T2,seed43,10,206.0,290.0,232.0,20.0,448.6937270185009,0.1770125942932474,0.8,400000.0,43800.0,56314.28571428572,45051.42857142858,45051.42857142858,0.8000000000000002,3604.1142857142863,397877.45074707724,0.17542354593982792,0.00158904835341947,0.8977035559328495,True,35
T0,seed43,11,206.0,291.0,217.0,19.0,449.2476001141023,0.176811587805854,0.0,0.0,41610.0,53498.571428571435,0.0,0.0,0.0,0.0,401025.6630137139,0.176811587805854,0.0,0.0,True,36
T1,seed43,11,206.0,291.0,217.0,19.0,449.2476001141023,0.176811587805854,0.5,200000.0,41610.0,53498.571428571435,26749.285714285717,26749.285714285717,0.5,2139.9428571428575,398885.7201565711,0.17586809034601117,0.0009434974598428181,0.5336174351190235,True,35
T2,seed43,11,206.0,291.0,217.0,19.0,449.2476001141023,0.176811587805854,0.8,400000.0,41610.0,53498.571428571435,42798.85714285715,42798.85714285715,0.8,3423.908571428572,397601.75444228534,0.17530199187010548,0.001509595935748509,0.8537878961904375,True,34
T0,seed43,12,206.0,313.0,212.0,18.0,451.6051142380329,0.1760417945530227,0.0,0.0,39420.0,50682.857142857145,0.0,0.0,0.0,0.0,399279.6979814949,0.17604179455302274,-2.7755575615628914e-17,-1.5766469369448007e-14,True,35
T1,seed43,12,206.0,313.0,212.0,18.0,451.6051142380329,0.1760417945530227,0.5,200000.0,39420.0,50682.857142857145,25341.428571428572,25341.428571428572,0.5,2027.314285714286,397252.3836957806,0.17514795485422427,0.0008938396987984432,0.5077428920035374,True,34
T2,seed43,12,206.0,313.0,212.0,18.0,451.6051142380329,0.1760417945530227,0.8,400000.0,39420.0,50682.857142857145,40546.28571428572,40546.28571428572,0.8,3243.7028571428573,396035.99512435205,0.1746116510349452,0.0014301435180775202,0.8123886272056661,True,34
T0,seed43,13,206.0,323.0,208.0,18.0,457.263901370698,0.1756872637582665,0.0,0.0,39420.0,50682.857142857145,0.0,0.0,0.0,0.0,398475.58808807546,0.17568726375826652,-2.7755575615628914e-17,-1.5798285556896522e-14,True,36
T1,seed43,13,206.0,323.0,208.0,18.0,457.263901370698,0.1756872637582665,0.5,200000.0,39420.0,50682.857142857145,25341.428571428572,25341.428571428572,0.5,2027.314285714286,396448.27380236116,0.17479342405946804,0.0008938396987984432,0.5087674995202297,True,35
T2,seed43,13,206.0,323.0,208.0,18.0,457.263901370698,0.1756872637582665,0.8,400000.0,39420.0,50682.857142857145,40546.28571428572,40546.28571428572,0.8,3243.7028571428573,395231.8852309326,0.174257120240189,0.0014301435180774924,0.8140279992323581,True,35
T0,seed43,14,242.0,575.0,191.0,21.0,457.8096680508502,0.1682453963728939,0.0,0.0,45990.0,59130.00000000001,0.0,0.0,0.0,0.0,381596.7181038518,0.16824539637289398,-8.326672684688674e-17,-4.949123639753978e-14,True,28
T1,seed43,14,242.0,575.0,191.0,21.0,457.8096680508502,0.1682453963728939,0.5,200000.0,45990.0,59130.00000000001,29565.000000000004,29565.000000000004,0.5,2365.2000000000003,379231.51810385176,0.16720258339096242,0.0010428129819314846,0.6198166513990232,True,25
