hour_of_week,t_global,hour,demand_kw,pv_kw,p_grid_kw,p_pv_used_kw,p_pv_curtail_kw,p_bat_ch_kw,p_bat_dis_kw,p_elz_kw,p_fc_kw,soc_bat_kwh,h2_level_kg,p_unserved_kw,blackout_flag
93,4377.0,4377.0,337.16195491957194,0.0,253.78261358614026,0.0,0.0,0.0,0.0,0.0,87.0,82.17,53.34136890481146,-0.0,0.0
94,4378.0,4378.0,419.6703348703851,0.0,333.8857205755246,0.0,0.0,0.0,0.0,0.0,87.0,82.17,48.49351240150766,-0.0,0.0
95,4379.0,4379.0,420.4690731127218,0.0,335.54503454410906,0.0,0.0,0.0,0.0,0.0,87.0,82.17,43.27299034930244,-0.0,0.0
96,4380.0,4380.0,420.61020923567173,0.0,333.61020923567173,0.0,0.0,0.0,0.0,0.0,87.0,82.17,38.104553198746714,-0.0,0.0
97,4381.0,4381.0,417.84127662902847,0.0,332.3040977628067,0.0,0.0,0.0,0.0,0.0,87.0,82.17,32.8840311465415,-0.0,0.0
98,4382.0,4382.0,422.80648286656447,0.0,337.4455578844497,0.0,0.0,0.0,0.0,0.0,87.0,82.17,27.66350909433628,-0.0,0.0
99,4383.0,4383.0,418.4822937524887,0.0,337.0825436309118,0.0,0.0,0.0,0.0,0.0,87.0,82.17,22.442987042131055,-0.0,0.0
100,4384.0,4384.0,420.6784032261395,0.0,338.58975763466054,0.0,0.0,0.0,0.0,0.0,87.0,82.17,17.35587754513323,-0.0,0.0
101,4385.0,4385.0,322.38736416019674,0.0,236.22320993746553,0.0,0.0,0.0,0.0,0.0,87.0,82.17,12.25938308676088,-0.0,0.0
102,4386.0,4386.0,318.44136929282325,0.0,231.44136929282325,0.0,0.0,0.0,0.0,0.0,87.0,82.17,7.462017446133448,-0.0,0.0
103,4387.0,4387.0,154.35994321082862,183.55008168333677,0.0,183.55008168333677,0.0,0.0,0.0,31.833037549665093,0.0,82.17,7.9862248539808816,-0.0,0.0
104,4388.0,4388.0,153.93466046864296,354.591528630806,0.0,354.591528630806,0.0,0.0,0.0,200.21635121652463,0.0,82.17,12.465797707897476,-0.0,0.0
105,4389.0,4389.0,148.97865685306903,501.4681488922937,0.0,497.8516483602572,0.0,0.0,0.0,351.4121054399961,0.0,82.17,20.002126319948417,-0.0,0.0
106,4390.0,4390.0,118.25118476183818,614.1705435220704,0.0,494.50159319381527,111.20428451930209,0.0,0.0,374.0,0.0,82.17,27.85691179849627,-0.0,0.0
107,4391.0,4391.0,120.18311883494525,685.0182305756305,0.0,508.05723826411156,166.82722503451873,4.118417750287862,0.0,374.0,0.0,155.85085676697008,35.711697277044124,-0.0,0.0
108,4392.0,4392.0,120.61869116178788,708.8169291761776,0.0,663.690672873902,44.78303614888705,156.66957769311725,0.0,374.0,0.0,261.928346161483,43.56648275559198,-0.0,0.0
109,4393.0,4393.0,120.69790110633883,685.0182305756305,0.0,672.8317905188226,0.0,178.29940475913014,0.0,374.0,0.0,432.7100724401341,51.42126823413983,-0.0,0.0
110,4394.0,4394.0,120.69116498605493,614.1705435220705,0.0,607.5525492251653,0.0,121.77404540010363,0.0,374.0,0.0,547.8000000000001,59.27605371268769,-0.0,0.0
111,4395.0,4395.0,120.75436336764632,501.4681488922937,0.0,492.5470556073178,0.0,0.0,0.0,374.0,0.0,547.8000000000001,67.11489230177163,-0.0,0.0
112,4396.0,4396.0,261.92044690622345,354.591528630806,0.0,354.591528630806,0.0,0.0,0.0,94.95713727007097,0.0,547.8000000000001,69.49338464964872,-0.0,0.0
113,4397.0,4397.0,263.25873695586597,183.55008168333694,64.98561803160672,183.55008168333694,0.0,0.0,0.0,0.0,0.0,547.8000000000001,67.87984452064359,-0.0,0.0
114,4398.0,4398.0,262.43598562167796,8.684987610849677e-14,148.4823357867003,0.0,0.0,0.0,1.510511707974345e-13,0.0,87.0,547.8,62.659322468438376,-0.0,0.0
115,4399.0,4399.0,337.374453219168,0.0,0.0,0.0,0.0,0.0,239.35376817290214,0.0,87.0,287.54769050182625,57.43880041623315,-0.0,0.0
116,4400.0,4400.0,345.58529992830086,0.0,56.96542756264711,0.0,0.0,0.0,189.3488748117726,0.0,87.0,82.17,52.218278364027924,-0.0,0.0
117,4401.0,4401.0,340.39073435981936,0.0,258.45090898484534,0.0,0.0,0.0,0.0,0.0,87.0,82.17,47.347674633616435,-0.0,0.0
118,4402.0,4402.0,423.96848390093464,0.0,338.9819600313529,0.0,0.0,0.0,0.0,0.0,87.0,82.17,42.748662655769344,-0.0,0.0
119,4403.0,4403.0,420.56505921014207,0.0,333.56505921014207,0.0,0.0,0.0,0.0,0.0,87.0,82.17,37.528140603564125,-0.0,0.0
120,4404.0,4404.0,348.8805911434341,0.0,263.1072672086889,0.0,0.0,0.0,0.0,0.0,87.0,82.17,32.3076185513589,-0.0,0.0
121,4405.0,4405.0,343.4307750168225,0.0,259.94971356023973,0.0,0.0,0.0,0.0,0.0,87.0,82.17,27.672351037156236,-0.0,0.0
122,4406.0,4406.0,343.54569389339576,0.0,256.54569389339576,0.0,0.0,0.0,0.0,0.0,87.0,82.17,22.451828984951018,-0.0,0.0
123,4407.0,4407.0,340.45138199031373,0.0,253.4513819903138,0.0,0.0,0.0,0.0,0.0,87.0,82.17,17.23130693274579,-0.0,0.0
124,4408.0,4408.0,341.4564835742188,0.0,258.3811534830555,0.0,0.0,0.0,0.0,0.0,87.0,82.17,12.139737910061797,-0.0,0.0
125,4409.0,4409.0,268.0569097405722,0.0,181.0569097405722,0.0,0.0,0.0,0.0,0.0,87.0,82.17,6.989796997907375,-0.0,0.0
126,4410.0,4410.0,262.8315913086628,0.0,177.03623969538484,0.0,0.0,0.0,0.0,0.0,87.0,82.17,2.2496575902003033,-0.0,0.0
127,4411.0,4411.0,122.21460056040729,183.55006413384544,0.0,183.55006413384544,0.0,0.0,0.0,61.26712008601595,0.0,82.17,3.601584380155388,-0.0,0.0
128,4412.0,4412.0,123.30943726345961,354.5914947277923,0.0,354.5914947277923,0.0,0.0,0.0,235.15691585788431,0.0,82.17,8.814650628163557,-0.0,0.0
129,4413.0,4413.0,123.84376150132488,501.4681009461917,0.0,485.0170218839781,0.0,0.0,0.0,374.0,0.0,82.17,16.669436106711412,-0.0,0.0
130,4414.0,4414.0,92.9296976964146,614.170484800328,0.0,494.65077744589934,99.30063279160288,36.6468093714635,0.0,374.0,0.0,118.80286873421045,24.524221585259266,-0.0,0.0
131,4415.0,4415.0,98.52015212684833,685.0181650800373,0.0,651.2029615520014,0.0,179.8017586488172,0.0,374.0,0.0,313.6275324596355,32.37900706380712,-0.0,0.0
132,4416.0,4416.0,98.96453637279527,708.4508417763689,0.0,482.1380412679806,212.5610641883241,0.0,0.0,374.0,0.0,351.75345260030105,40.233792542354976,-0.0,0.0
133,4417.0,4417.0,98.74129254875092,685.0181650800373,0.0,652.6829764332215,0.0,177.1225724510012,0.0,374.0,0.0,545.5218815391474,48.08857802090283,-0.0,0.0
134,4418.0,4418.0,98.31628640216708,614.170484800328,0.0,477.7192380823386,125.8271885267865,0.0,0.0,374.0,0.0,547.8000000000001,55.94336349945068,-0.0,0.0
135,4419.0,4419.0,98.02900926165526,501.4681009461917,0.0,475.26642106887476,0.0,0.0,0.0,374.0,0.0,547.8000000000001,63.79814897799854,-0.0,0.0
136,4420.0,4420.0,212.17920743113024,354.5914947277923,0.0,354.5914947277923,0.0,0.0,0.0,145.80621353322584,0.0,547.8000000000001,67.50148000328332,-0.0,0.0
137,4421.0,4421.0,211.92258062801284,183.55006413384564,17.119315937661383,183.55006413384564,0.0,0.0,0.0,0.0,0.0,547.8000000000001,67.5263981084083,-0.0,0.0
138,4422.0,4422.0,214.7552907248164,8.68498678046533e-14,70.95135097925038,0.0,0.0,0.0,55.412824500203,0.0,87.0,487.69635306073064,62.48178581814459,-0.0,0.0
139,4423.0,4423.0,273.1234416681641,0.0,0.0,0.0,0.0,0.0,184.8196037473754,0.0,87.0,288.83290229566535,57.26126376593937,-0.0,0.0
140,4424.0,4424.0,277.53378153880635,0.0,0.0,0.0,0.0,0.0,190.5337815388063,0.0,87.0,82.17,52.04074171373415,-0.0,0.0
