global_solution_id,solution_id,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,lcoe_usd_kwh,rank,crowding_distance,milp_status,solve_time_sec,capex_total_usd,annualized_capex_usd,fixed_opex_annual_usd,variable_h2_opex_annual_usd,degradation_opex_annual_usd,grid_opex_annual_usd,grid_peak_opex_annual_usd,E_grid_total_kwh,E_load_total_kwh,E_grid_peak_opt_kwh,E_grid_peak_ref_kwh,R_peak_percent,P_peak_grid_opt_kw,P_peak_grid_ref_kw,Peak_reduction_percent,peak_grid_dependency_ratio,peak_grid_dependency_percent,total_grid_dependency_ratio,grid_dependency_objective,source_run,source_solution_id,globally_nondominated,peak_normalized,lcoe_normalized,knee_distance,route,biomethane_storage_nm3,chp_kw,biomethane_fuel_opex_annual_usd,chp_variable_opex_annual_usd,variable_biomethane_opex_annual_usd,variable_dispatchable_opex_annual_usd,peak_norm,lcoe_norm,globally_dominated_cross_route
10,10,850.0,1291.0,416.0,99.0,104.0,0.183699646115363,0,0.0678028748419172,OPTIMAL,9.296,2160620.0,220063.91942747563,35470.4,10716.661219885722,0.0,150397.46017592173,206.2457371253297,1001687.2543995602,2268096.0450061434,412.4914742506594,325732.2452614388,99.87336486324232,364.2476001141024,474.8149521321564,23.28640905716034,0.0012663513675767,0.1266351367576722,0.441642344293602,0.067512703011617,warm_start_20260831_030140,10,True,0.1130434782608695,0.7993299707374112,0.0619613284253045,H2,,,,,,,,,False
11,11,852.0,1296.0,402.0,107.0,102.0,0.1830445120640078,0,0.0626497815888076,OPTIMAL,9.343000000000002,2137920.0,217751.8742871901,34922.4,10425.657862152531,0.0,152062.60172311292,269.52724947185857,1012492.8843232174,2268096.0450061434,539.0544989437171,325732.2452614388,99.83450993667788,366.69099209102114,474.8149521321564,22.77181027168682,0.0016549006332211,0.1654900633221196,0.4464065296319826,0.0686158800780185,warm_start_20260831_030140,11,True,0.1342903650166847,0.7866885142510481,0.0558763703267469,H2,,,,,,,,,False
12,12,844.0,1280.0,399.0,112.0,102.0,0.1828125580574107,0,0.0528071021780914,OPTIMAL,9.441999999999997,2123400.0,216272.980215078,34682.0,10328.29420497758,0.0,153353.1654874137,465.02081406109977,1020184.339450473,2268096.0450061434,930.0416281221997,325732.2452614388,99.7144766471076,369.21438560785737,474.8149521321564,22.24036249281951,0.0028552335289241,0.2855233528924134,0.449797680171745,0.0703248855546858,warm_start_20260831_030140,12,True,0.1562329173369997,0.7822127333399977,0.0435254978178206,H2,,,,,,,,,False
13,13,833.0,1396.0,399.0,106.0,101.0,0.1819240803207736,0,0.047686268291855,OPTIMAL,9.478000000000002,2133020.0,217252.79846395663,35007.4,10281.734578619553,0.0,150079.35402435035,11.621306792358425,1000474.7940639711,2268096.0450061434,23.24261358471685,325732.2452614388,99.9928645033082,369.8845469503185,474.8149521321564,22.09922090925064,7.135496691788034e-05,0.007135496691788,0.4411077724273626,0.0662375208310222,warm_start_20260831_030140,13,True,0.1620604072714444,0.7650686807242517,0.0515275160294914,H2,,,,,,,,,False
14,14,849.0,1278.0,387.0,91.0,97.0,0.1814814678485158,0,0.0552345497793596,OPTIMAL,9.475,2084860.0,212347.5960870337,33922.2,10087.05382512408,0.0,155260.5495569706,1035.035726250192,1030240.163657303,2268096.0450061434,2070.071452500384,325732.2452614388,99.36448678857724,371.2476001141024,474.8149521321564,21.81215051315989,0.0063551321142274,0.6355132114227457,0.4542312773419225,0.0744898237155158,warm_start_20260831_030140,14,True,0.1739130434782608,0.7565280373295231,0.049185583452823,H2,,,,,,,,,False
15,15,852.0,1275.0,383.0,86.0,94.0,0.1811360334533573,0,0.0636883013236158,OPTIMAL,9.250000000000009,2072300.0,211068.33234421496,33632.0,10011.855749306944,0.0,156121.7329901383,1516.3808125257442,1033735.109475802,2268096.0450061434,3032.7616250514884,325732.2452614388,99.06894031242828,374.2476001141024,474.8149521321564,21.18032542287397,0.0093105968757171,0.9310596875717164,0.4557721934888352,0.0776764258990424,warm_start_20260831_030140,15,True,0.2,0.7498625406021645,0.0354525375316746,H2,,,,,,,,,False
16,16,780.0,1374.0,409.0,100.0,93.0,0.1801858679452257,0,0.0489923627275637,OPTIMAL,9.259,2081180.0,211972.77995856456,34432.6,10174.295165254454,0.0,152099.1793287467,96.75948926372568,1013542.9845750805,2268096.0450061434,193.5189785274513,325732.2452614388,99.94058955435248,375.2476001141024,474.8149521321564,20.969717059445337,0.000594104456475,0.059410445647507,0.4468695171911624,0.0676245320351494,warm_start_20260831_030140,16,True,0.208695652173913,0.7315281617051405,0.0422681465595904,H2,,,,,,,,,False
17,17,820.0,1266.0,376.0,89.0,92.0,0.1797351141556438,0,0.0356006126962291,OPTIMAL,9.510000000000003,2023520.0,206099.9815978217,32932.4,9730.761903226528,0.0,158893.35806409526,2091.7653278999546,1049527.4822304351,2268096.0450061434,4183.530655799909,325732.2452614388,98.71565351092516,376.2476001141024,474.8149521321564,20.759108696016703,0.0128434648907483,1.284346489074832,0.4627350259444557,0.0822537187824166,warm_start_20260831_030140,17,True,0.217391304347826,0.7228304235776906,0.0422696215514816,H2,,,,,,,,,False
18,18,835.0,1276.0,363.0,87.0,93.0,0.179370032719817,0,0.0505367246016421,OPTIMAL,9.440999999999995,2014820.0,205213.86738106023,32633.4,9509.226972562365,0.0,159471.967450817,1640.706327406188,1055489.820144218,2268096.0450061434,3281.412654812376,325732.2452614388,98.99260429308168,377.23945331429786,474.8149521321564,20.55021611676208,0.0100739570691831,1.0073957069183166,0.4653638114083299,0.0798785287804326,warm_start_20260831_030140,18,True,0.2260161147843084,0.7157858178585453,0.0411522480801895,H2,,,,,,,,,False
19,19,790.0,1495.0,370.0,106.0,91.0,0.1778909995986625,0,0.0634067168100299,OPTIMAL,9.828999999999995,2040800.0,207859.9877662857,33463.0,9479.736644944318,0.0,152671.1482206859,6.9938554754055104,1017775.0168123542,2268096.0450061434,13.98771095081102,325732.2452614388,99.99570576411936,377.2476001141024,474.8149521321564,20.54850033258806,4.2942358806338695e-05,0.0042942358806338,0.448735413587654,0.0673532543969544,warm_start_20260831_030140,19,True,0.2260869565217391,0.6872464177093884,0.0612825587837264,H2,,,,,,,,,False
